,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
0,2012-12-31,0.0,9999.46,9999.46,0.9999
1,2013-01-04,0.0,10024.08,10024.08,1.0024
2,2013-01-07,0.0,10048.91,10048.91,1.0049
3,2013-01-08,0.0,10067.97,10067.97,1.0068
4,2013-01-09,0.0,10079.22,10079.22,1.0079
5,2013-01-10,0.0,10143.47,10143.47,1.0143
6,2013-01-11,0.0,10116.67,10116.67,1.0117
7,2013-01-14,0.0,10277.25,10277.25,1.0277
8,2013-01-15,0.0,10368.86,10368.86,1.0369
9,2013-01-16,0.0,10408.31,10408.31,1.0408
10,2013-01-17,0.0,10423.38,10423.38,1.0423
11,2013-01-18,0.0,10499.77,10499.77,1.05
12,2013-01-21,0.0,10567.22,10567.22,1.0567
13,2013-01-22,0.0,10503.83,10503.83,1.0504
14,2013-01-23,0.0,10491.73,10491.73,1.0492
15,2013-01-24,0.0,10442.36,10442.36,1.0442
16,2013-01-25,0.0,10408.06,10408.06,1.0408
17,2013-01-28,0.0,10533.16,10533.16,1.0533
18,2013-01-29,0.0,10561.76,10561.76,1.0562
19,2013-01-30,0.0,10571.85,10571.85,1.0572
20,2013-01-31,0.0,10643.49,10643.49,1.0643
21,2013-02-01,0.0,10685.69,10685.69,1.0686
22,2013-02-04,0.0,10666.23,10666.23,1.0666
23,2013-02-05,0.0,10658.16,10658.16,1.0658
24,2013-02-06,0.0,10692.53,10692.53,1.0693
25,2013-02-07,0.0,10734.79,10734.79,1.0735
26,2013-02-08,0.0,10904.99,10904.99,1.0905
27,2013-02-18,0.0,10896.6,10896.6,1.0897
28,2013-02-19,0.0,10808.81,10808.81,1.0809
29,2013-02-20,0.0,10900.87,10900.87,1.0901
30,2013-02-21,0.0,10735.27,10735.27,1.0735
31,2013-02-22,0.0,10667.33,10667.33,1.0667
32,2013-02-25,0.0,10655.76,10655.76,1.0656
33,2013-02-26,0.0,10625.09,10625.09,1.0625
34,2013-02-27,0.0,10638.54,10638.54,1.0639
35,2013-02-28,0.0,10767.98,10767.98,1.0768
36,2013-03-01,0.0,10805.07,10805.07,1.0805
37,2013-03-04,0.0,10626.11,10626.11,1.0626
38,2013-03-05,0.0,10686.82,10686.82,1.0687
39,2013-03-06,0.0,10820.43,10820.43,1.082
40,2013-03-07,0.0,10759.58,10759.58,1.076
