,TRADEDATE,CASH_VALUE,STOCK_VALUE,TOTAL_ASSET,NAV
0,2012-12-31,0.0,9999.46,9999.46,0.9999
1,2013-01-04,0.0,10024.08,10024.08,1.0024
2,2013-01-07,0.0,10048.91,10048.91,1.0049
3,2013-01-08,0.0,10067.97,10067.97,1.0068
4,2013-01-09,0.0,10079.22,10079.22,1.0079
5,2013-01-10,0.0,10143.47,10143.47,1.0143
6,2013-01-11,0.0,10116.67,10116.67,1.0117
7,2013-01-14,0.0,10277.25,10277.25,1.0277
8,2013-01-15,0.0,10368.86,10368.86,1.0369
9,2013-01-16,0.0,10408.31,10408.31,1.0408
10,2013-01-17,0.0,10423.38,10423.38,1.0423
11,2013-01-18,0.0,10499.77,10499.77,1.05
12,2013-01-21,0.0,10567.22,10567.22,1.0567
13,2013-01-22,0.0,10503.83,10503.83,1.0504
14,2013-01-23,0.0,10491.73,10491.73,1.0492
15,2013-01-24,0.0,10442.36,10442.36,1.0442
16,2013-01-25,0.0,10408.06,10408.06,1.0408
17,2013-01-28,0.0,10533.16,10533.16,1.0533
18,2013-01-29,0.0,10561.76,10561.76,1.0562
19,2013-01-30,0.0,10571.85,10571.85,1.0572
20,2013-01-31,0.0,10644.14,10644.14,1.0644
21,2013-02-01,0.0,10686.75,10686.75,1.0687
22,2013-02-04,0.0,10667.76,10667.76,1.0668
23,2013-02-05,0.0,10659.95,10659.95,1.066
24,2013-02-06,0.0,10694.96,10694.96,1.0695
25,2013-02-07,0.0,10738.38,10738.38,1.0738
26,2013-02-08,0.0,10911.48,10911.48,1.0911
27,2013-02-18,0.0,10903.88,10903.88,1.0904
28,2013-02-19,0.0,10813.5,10813.5,1.0814
29,2013-02-20,0.0,10906.45,10906.45,1.0906
30,2013-02-21,0.0,10739.09,10739.09,1.0739
31,2013-02-22,0.0,10669.67,10669.67,1.067
32,2013-02-25,0.0,10657.81,10657.81,1.0658
33,2013-02-26,0.0,10626.84,10626.84,1.0627
34,2013-02-27,0.0,10640.43,10640.43,1.064
35,2013-02-28,0.0,10773.41,10773.41,1.0773
36,2013-03-01,0.0,10812.11,10812.11,1.0812
37,2013-03-04,0.0,10631.87,10631.87,1.0632
38,2013-03-05,0.0,10693.11,10693.11,1.0693
39,2013-03-06,0.0,10829.61,10829.61,1.083
40,2013-03-07,0.0,10769.62,10769.62,1.077
